Time,Knee_gyro,Knee_accel,Knee_fusion,Ankle_gyro,Ankle_accel,Ankle_fusion
0.645348,-19.668348955097674,-19.515472860531478,-20.406640025531644,-50.20706065093312,-51.77305800561696,-51.43192775073335
0.651168,-19.786439507181694,-19.369770846213157,-20.489616541844487,-50.22361153018508,-52.016976374873664,-51.46778495782501
0.656976,-19.91614505347353,-19.20284117833945,-20.572630956924293,-50.23700885617328,-52.282176121840514,-51.50684775898416
0.662776,-20.058239242260004,-19.006869449154078,-20.65560350681678,-50.24536113411571,-52.548860915981095,-51.546626724472986
0.668592,-20.213672430158816,-18.778152848167778,-20.73864233436019,-50.24653210293232,-52.79324947954238,-51.58358130753438
0.674404,-20.383615715007306,-18.519031160185193,-20.822288163159566,-50.23817248911803,-52.989302296190004,-51.61319630107006
0.680216,-20.56950162160037,-18.23932247794049,-20.907791425921463,-50.21777603059797,-53.11135535924174,-51.63019157429655
0.686036,-20.773047474886987,-17.956664250854118,-20.99736266507185,-50.182769681548635,-53.1382714609476,-51.62883327792679
0.69186,-20.99624995047291,-17.695382306788673,-21.094349441248703,-50.13064499714761,-53.055665758965425,-51.60329303564733
0.697668,-21.241347356710143,-17.484326517836706,-21.203310533079186,-50.059131021389696,-52.852780362278445,-51.548000666948404
0.7035,-21.510757967027704,-17.35380763383504,-21.329975379934652,-49.96639966279359,-52.51861922325769,-51.45795811510564
0.709304,-21.80700892915728,-17.33260012368973,-21.481096387784135,-49.85128587475791,-52.04353665267393,-51.32901537642729
0.715116,-22.132669569452275,-17.445853771790762,-21.664217282880696,-49.71350596222218,-51.42235434431764,-51.158133970323256
0.720952,-22.490298252616796,-17.71370823803313,-21.88738859557596,-49.553859088699646,-50.65363518539801,-50.943682743975586
0.726772,-22.882402816486955,-18.15052486932427,-22.158868074535228,-49.37439066141645,-49.73989472439234,-50.68582219151494
0.732572,-23.31140748149894,-18.764646486015163,-22.486848560252888,-49.17849633273418,-48.69462390770988,-50.3870080315464
0.738396,-23.779620913391998,-19.558762370444843,-22.87924966488532,-48.97095510002305,-47.5525184456539,-50.0525645688306
0.744204,-24.28921142545211,-20.53174263136108,-23.343582578036628,-48.75788381076117,-46.375025545573486,-49.69116343789971
0.750008,-24.842206299444456,-21.681926246801936,-23.88684958044436,-48.54660130971031,-45.24729027092361,-49.31495368740911
0.755816,-25.44052432951462,-23.008675061575417,-24.515390060180213,-48.34538462253166,-44.265741053042326,-48.939089648095226
0.761628,-26.086025051765926,-24.508554878191333,-25.23456649569053,-48.16309052703563,-43.5174732583089,-48.58051841256231
0.767436,-26.780541065613225,-26.167165322433984,-26.048223050814777,-48.00862060692846,-43.05772287266298,-48.25609427929268
0.773252,-27.5258697585096,-27.951057532740833,-26.95793645948866,-47.89026421605773,-42.89292265856657,-47.980313832357695
0.779076,-28.323724862826058,-29.803285060647603,-27.962175947064594,-47.815044428876156,-42.97292314377798,-47.763139471227284
0.784888,-29.175661280834916,-31.64418477622628,-29.055557011853928,-47.78821910646819,-43.19627675882612,-47.608451017950344
0.790692,-30.082986339446354,-33.377362713372605,-30.218927243055493,-47.813010348504505,-43.43256526592301,-47.52753299970928
0.796508,-31.04667360549609,-34.89950352612071,-31.432000234561922,-47.89053857765434,-43.55863566737111,-47.52745085208118
0.80232,-32.067300630026246,-36.112385520816915,-32.67532379432045,-48.019900715358446,-43.496158470821186,-47.613171666219024
0.808128,-33.14502785232568,-36.936486608903856,-33.93261426133059,-48.19834343922637,-43.23462950297882,-47.78995234241301
0.813944,-34.279629653646886,-37.32447220326277,-35.21215703712126,-48.421510958785696,-42.831460528603344,-48.03748350050335
0.819744,-35.47058259561776,-37.27041225361055,-36.52388447837467,-48.68376261457315,-42.391712149260336,-48.335993879603876
0.82556,-36.71719475871679,-36.81269009379887,-37.878443586593484,-48.978544866371536,-42.0369425285422,-48.6660722801165
0.831376,-38.01872721216115,-36.03134167631808,-39.25226078103394,-49.29879226628307,-41.87620651796171,-48.986761909774565
0.837176,-39.37443710077133,-35.0400135600914,-40.64391260800613,-49.637331546992186,-41.9890351358896,-49.292087372319905
0.842984,-40.78348644899926,-33.97423790315006,-42.00541320849944,-49.9872617057045,-42.42025750786893,-49.56180306685117
0.8488,-42.24472500253099,-32.978671055638394,-43.33421965791936,-50.342287479850846,-43.18040069517655,-49.791613147217596
0.854604,-43.756431399342034,-32.19181144968017,-44.64084540299279,-50.69698438166799,-44.24879222348768,-50.01508444111119
0.860404,-45.31612096833118,-31.725447311201993,-45.92154169865216,-51.04697046728479,-45.58129363431586,-50.229887951358734
0.86622,-46.920491463778,-31.643814561415365,-47.207462135102034,-51.38897278879183,-47.12244815760208,-50.468394034526064
0.872032,-48.565523674970805,-31.955104415792338,-48.494324769647086,-51.72079582422542,-48.81679068188322,-50.729880881670944
0.877852,-50.246717221636565,-32.621593125428745,-49.79422576387462,-52.04120868953638,-50.61387429871851,-51.018231967432385
0.883672,-51.95941311442827,-33.579811940994134,-51.10329270334742,-52.34976635128179,-52.46587034832293,-51.33357444924694
0.889496,-53.699124836013475,-34.758319272409764,-52.42886955124527,-52.64657688081253,-54.32142259705601,-51.67469289696
0.895304,-55.46180041268918,-36.08854839542124,-53.76802332194914,-52.93204220174933,-56.12223306521339,-52.041822454923306
0.90112,-57.24397002608434,-37.51014995549463,-55.12292506829289,-53.206622087478394,-57.80636959005523,-52.42815726463141
0.906936,-59.04276888783616,-38.97305134890693,-56.491519261438036,-53.470664573326204,-59.31562624260623,-52.83366824110398
0.912744,-60.8558632045637,-40.438746276750514,-57.87237304091513,-53.724317829865555,-60.60165261612337,-53.24682431994101
0.918576,-62.6813320711088,-41.88176102693287,-59.26398459203163,-53.967517305100266,-61.62903314728518,-53.66734220951721
0.924388,-64.51754998132866,-43.288847731309026,-60.66326737105739,-54.2000265208749,-62.37614929591633,-54.081334437702836
0.9302,-66.36309386571718,-44.65512591596057,-62.06901218501986,-54.42149832258968,-62.83478732208976,-54.488430264563355
0.936024,-68.21668231617105,-45.98004914202491,-63.47785624587013,-54.63152894645212,-63.00930440239849,-54.875203350643204
0.941832,-70.07714071676753,-47.264180290534334,-64.88873384607751,-54.829697990460105,-62.91600748852425,-55.241383201650365
0.947644,-71.94337788873122,-48.50666523142826,-66.29846803610509,-55.01560387027556,-62.58339662948108,-55.57658804430861
0.95346,-73.81436278104589,-49.70567581896158,-67.70599774667748,-55.18890623160172,-62.052129709402635,-55.88085938942897
0.959272,-75.6890982776649,-50.86169842112773,-69.10838161029352,-55.349382383834715,-61.3718136273859,-56.14871405154438
0.96508,-77.56658963586007,-51.97935415827759,-70.50435004346815,-55.49699718846775,-60.594525631283105,-56.38069386763303
0.970904,-79.44579474907648,-53.06530602091377,-71.8911758988117,-55.631971823651966,-59.76869537215954,-56.576613603188434
0.976712,-81.32554476372593,-54.124461883855886,-73.26715094554174,-55.75483090190142,-58.93644945950436,-56.737556403992755
0.98252,-83.20445019810322,-55.158096891596664,-74.629533905505,-55.86641675548118,-58.133721742761516,-56.86759025216322
0.988336,-85.0808300173948,-56.16489090177972,-75.97611109665857,-55.9678703379576,-57.39037856535635,-56.968172577844356
